iter	Passed	Remaining
948	37831	288735
949	37875	288729
950	37917	288707
951	37959	288681
952	38001	288657
953	38042	288628
954	38084	288602
955	38125	288572
956	38165	288535
957	38210	288530
958	38250	288490
959	38289	288450
960	38331	288422
961	38367	288356
962	38407	288313
963	38452	288312
964	38496	288306
965	38543	288315
966	38585	288292
967	38628	288276
968	38667	288230
969	38713	288232
970	38753	288195
971	38791	288144
972	38831	288103
973	38872	288070
974	38910	288019
975	38950	287981
976	38991	287948
977	39035	287939
978	39076	287901
979	39115	287861
980	39158	287838
981	39198	287801
982	39239	287769
983	39280	287737
984	39321	287706
985	39362	287676
986	39401	287627
987	39442	287593
988	39483	287559
989	39520	287501
990	39563	287480
991	39608	287478
992	39648	287438
993	39688	287401
994	39727	287353
995	39765	287301
996	39805	287263
997	39846	287232
998	39885	287182
999	39921	287118
1000	39961	287077
1001	40003	287054
1002	40044	287020
1003	40085	286983
1004	40127	286964
1005	40167	286918
1006	40205	286869
1007	40244	286824
1008	40286	286793
1009	40325	286747
1010	40363	286698
1011	40403	286654
1012	40443	286615
1013	40487	286607
1014	40535	286624
1015	40579	286610
1016	40620	286582
1017	40663	286559
1018	40704	286529
1019	40746	286503
1020	40788	286480
1021	40834	286479
1022	40872	286425
1023	40902	286318
1024	40949	286328
1025	40991	286304
1026	41028	286239
1027	41065	286177
1028	41101	286115
1029	41143	286090
1030	41184	286051
1031	41226	286028
1032	41270	286016
1033	41312	285990
1034	41349	285931
1035	41382	285841
1036	41419	285785
1037	41456	285721
1038	41492	285653
1039	41530	285599
1040	41573	285582
1041	41611	285527
1042	41642	285430
1043	41682	285386
1044	41721	285341
1045	41761	285305
1046	41802	285274
1047	41841	285225
1048	41882	285191
1049	41926	285177
1050	41969	285164
1051	42010	285131
1052	42050	285092
1053	42090	285049
1054	42135	285044
1055	42176	285010
1056	42217	284979
1057	42259	284949
1058	42299	284910
1059	42340	284876
1060	42382	284851
1061	42423	284822
1062	42465	284791
1063	42504	284751
1064	42546	284722
1065	42587	284691
1066	42627	284649
1067	42669	284621
1068	42709	284581
1069	42749	284542
1070	42790	284509
1071	42839	284533
1072	42881	284506
1073	42924	284484
1074	42965	284453
1075	43006	284420
1076	43047	284386
1077	43089	284355
1078	43129	284320
1079	43174	284308
1080	43216	284287
1081	43250	284206
1082	43279	284092
1083	43308	283982
1084	43395	284251
1085	43425	284143
1086	43456	284043
1087	43492	283977
1088	43532	283940
1089	43573	283906
1090	43618	283901
1091	43663	283893
1092	43704	283859
1093	43745	283826
1094	43787	283799
1095	43827	283758
1096	43868	283725
1097	43909	283694
1098	43951	283663
1099	43992	283633
1100	44033	283597
1101	44080	283602
1102	44122	283579
1103	44165	283552
1104	44206	283519
1105	44245	283474
1106	44277	283386
1107	44317	283340
1108	44358	283310
1109	44402	283295
1110	44447	283287
1111	44491	283272
1112	44542	283303
1113	44588	283300
1114	44625	283243
1115	44665	283204
1116	44708	283178
1117	44751	283156
1118	44793	283129
1119	44835	283102
1120	44878	283082
1121	44920	283058
1122	44961	283023
1123	45004	282997
1124	45042	282950
1125	45079	282887
1126	45112	282803
1127	45153	282768
1128	45193	282731
1129	45237	282712
1130	45279	282687
1131	45323	282670
1132	45364	282635
1133	45407	282615
1134	45446	282572
1135	45487	282534
1136	45527	282496
1137	45568	282461
1138	45607	282413
1139	45646	282369
1140	45687	282330
1141	45727	282295
1142	45770	282272
1143	45812	282245
1144	45853	282207
1145	45894	282175
1146	45936	282144
1147	45977	282112
1148	46017	282075
1149	46060	282049
1150	46100	282011
1151	46141	281977
1152	46182	281944
1153	46224	281910
1154	46265	281881
1155	46305	281840
1156	46348	281816
1157	46389	281782
1158	46431	281751
1159	46473	281726
1160	46515	281697
1161	46555	281656
1162	46595	281617
1163	46635	281577
1164	46675	281536
1165	46715	281494
1166	46756	281459
1167	46799	281435
1168	46837	281386
1169	46876	281337
1170	46916	281296
1171	46956	281256
1172	46995	281209
1173	47034	281167
1174	47075	281133
1175	47117	281101
1176	47159	281073
1177	47200	281040
1178	47241	281002
1179	47282	280968
1180	47321	280925
1181	47362	280891
1182	47403	280852
1183	47443	280812
1184	47485	280784
1185	47525	280742
1186	47565	280704
1187	47605	280666
1188	47645	280626
1189	47685	280581
1190	47724	280538
1191	47764	280493
1192	47803	280450
1193	47841	280399
1194	47882	280360
1195	47921	280316
1196	47959	280262
1197	47997	280214
1198	48036	280165
1199	48072	280101
1200	48112	280060
1201	48157	280052
1202	48198	280018
1203	48237	279972
1204	48276	279922
1205	48316	279881
1206	48358	279855
1207	48399	279820
1208	48438	279774
1209	48476	279723
1210	48508	279637
1211	48544	279573
1212	48583	279527
1213	48626	279502
1214	48670	279483
1215	48712	279457
1216	48754	279425
1217	48792	279375
1218	48831	279331
1219	48869	279277
1220	48912	279254
1221	48951	279208
1222	48992	279174
1223	49033	279140
1224	49074	279106
1225	49116	279077
1226	49159	279053
1227	49202	279029
1228	49243	278993
1229	49285	278963
1230	49328	278938
1231	49369	278908
1232	49413	278886
1233	49456	278864
1234	49498	278832
1235	49536	278780
1236	49576	278740
1237	49615	278698
1238	49657	278666
1239	49697	278623
1240	49736	278581
1241	49778	278551
1242	49818	278511
1243	49860	278482
1244	49902	278453
1245	49944	278424
1246	49986	278390
1247	50027	278359
1248	50068	278323
1249	50108	278283
1250	50151	278259
1251	50193	278227
1252	50233	278187
1253	50274	278151
1254	50316	278125
1255	50357	278086
1256	50396	278045
1257	50439	278018
1258	50480	277982
1259	50521	277950
1260	50563	277920
1261	50605	277890
1262	50647	277857
1263	50684	277802
1264	50723	277756
1265	50764	277721
1266	50819	277761
1267	50865	277752
1268	50900	277689
1269	50932	277604
1270	50963	277512
1271	50991	277404
1272	51024	277326
1273	51059	277260
1274	51099	277217
1275	51139	277181
1276	51179	277138
1277	51220	277105
1278	51262	277073
1279	51302	277034
1280	51344	277003
1281	51386	276971
1282	51427	276941
1283	51468	276905
1284	51509	276868
1285	51552	276843
1286	51593	276810
1287	51634	276771
1288	51673	276727
1289	51715	276695
1290	51757	276666
1291	51798	276631
1292	51840	276603
1293	51881	276569
1294	51923	276536
1295	51965	276507
1296	52008	276481
1297	52051	276457
1298	52094	276432
1299	52136	276405
1300	52178	276374
1301	52226	276377
1302	52271	276363
1303	52315	276342
1304	52358	276315
1305	52398	276277
1306	52444	276264
1307	52481	276209
1308	52520	276162
1309	52561	276126
1310	52601	276088
1311	52642	276050
1312	52684	276023
1313	52730	276014
1314	52773	275985
1315	52815	275956
1316	52858	275933
1317	52900	275903
1318	52943	275877
1319	52987	275855
1320	53029	275823
1321	53071	275795
1322	53115	275773
1323	53157	275743
1324	53198	275708
1325	53239	275672
1326	53273	275602
1327	53308	275533
1328	53344	275473
1329	53386	275442
1330	53437	275459
1331	53480	275435
1332	53524	275412
1333	53566	275383
1334	53606	275341
1335	53648	275307
1336	53689	275271
1337	53730	275238
1338	53772	275206
1339	53813	275172
1340	53853	275131
1341	53895	275101
1342	53938	275076
1343	53981	275047
1344	54022	275010
1345	54062	274974
1346	54104	274942
1347	54145	274906
1348	54187	274873
1349	54228	274835
1350	54269	274801
1351	54308	274755
1352	54349	274719
1353	54391	274690
1354	54433	274657
